"refPeriod"	"FEWS"	"FEWS_Trader"	"FEWS_Partner"	"FEWS_TraderPartner"
201712	1	1	1	1
201801	0.945603481472489	0.945594918120783	0.940934089324253	0.940911661063167
201802	0.924870328864053	0.924877785412069	0.936244462720152	0.93620857754246
201803	0.970095698472607	0.969883062553521	0.964960053180538	0.964994616133237
201804	0.939291800419947	0.939309131612584	0.947560779430422	0.947528075949116
201805	0.878481724755733	0.878562141259675	0.882248425495103	0.882268623628469
201806	0.928207453359336	0.928229594524415	0.915591369886554	0.915564097401128
201807	1.0256934143489	1.02529746948528	1.00284131905208	1.00238024636768
201808	1.0361388816429	1.03614574236818	1.01317065939771	1.01308978179081
201809	1.05173344204568	1.05173465546531	1.04255111016403	1.04246340006761
201810	1.01598103192057	1.01612575399194	1.0018398600221	1.0017406804473
201811	0.992025657140659	0.992033971987902	0.976435603004538	0.976346899171868
201812	0.99769208004627	0.997705927626609	0.983942486983872	0.983791883390307
201901	0.872571834884082	0.872541715156905	0.870685889532606	0.870556364962661
201902	0.886263956963021	0.886271713927995	0.863233088106659	0.863076036023213
201903	0.914848508821435	0.91484016907312	0.90888057508813	0.908712714690438
201904	0.940006139019027	0.939985957572194	0.924887318831523	0.924716340613516
201905	0.970473616898199	0.970476550877731	0.951308432510635	0.951135135242618
201906	0.983992060362937	0.983991020884052	0.973056566662128	0.972874832729089
201907	1.06026274843088	1.04327982726333	1.02159736915638	1.01430797910294
201908	0.960699973203462	0.87917117547862	0.930910060979095	0.949229725247124
201909	0.951507454711085	0.888392342354211	0.941484534598927	0.976469482216889
201910	0.949219218368348	0.867551715776812	0.942206205331406	0.966307940750282
201911	1.01521614543847	0.902360761067306	0.984233217787589	1.0007336789647
201912	1.03232540745346	0.919238047206854	1.00951160025974	1.02014085729237
202001	1.01860142838029	0.890836228908266	0.978360503952084	0.993779699554067
202002	0.968922756884445	0.84032718013617	0.926248997563444	0.937616638409092
202003	0.937944900785421	0.845892849176888	0.939398064413763	0.953464595170983
202004	3.07422320147851	2.42597572183315	2.37806441690447	2.41539710492411
202005	0.871814743202826	0.880627976135462	1.03412031091401	1.04882419830254
202006	0.996686361006848	0.88002344808165	0.949157835317603	0.980163388467196
202007	0.93566835606506	0.871141475826927	0.924916974491162	0.943937566656403
