"refPeriod"	"FEWS"	"FEWS_Trader"	"FEWS_Partner"	"FEWS_TraderPartner"
201712	1	1	1	1
201801	0.943599135482566	0.943569127669145	0.93888167021143	0.938849277202279
201802	0.923845966052391	0.924075005830288	0.93528611379369	0.935347205745152
201803	0.9671031053337	0.968856324412314	0.963377476904785	0.963865157302104
201804	0.940682214222974	0.941246277703381	0.945965296381376	0.946158033571402
201805	0.876352465935639	0.876551866188572	0.883815238758609	0.884005391569195
201806	0.93406035498152	0.934956205168283	0.915167007631179	0.915272706996439
201807	1.02623192327892	1.02682628069467	1.00157236242048	1.00126690613532
201808	1.03632852519386	1.03648826393313	1.01240149545154	1.01245474840088
201809	1.05458626325957	1.05517727306733	1.04229997925959	1.04236005021087
201810	1.02860731531863	1.0210824212162	1.01175200753845	1.0037043653036
201811	1.00692348167198	0.997226435033103	0.985121383824182	0.977668009235079
201812	1.01556523313997	1.00636303898007	0.994966781796874	0.989738983638678
201901	0.891532361089434	0.886255058293645	0.876455485122747	0.880909945272835
201902	0.902443824761874	0.897939812445168	0.879053106540823	0.873156032468062
201903	0.926975367040386	0.921643119910454	0.916509531052073	0.912940671709722
201904	0.925406678050745	0.94403797462174	0.909285942694807	0.926822360391533
201905	0.968840604846724	0.975785054281955	0.946687666720348	0.953481553463064
201906	0.987998874999641	0.987137505577797	0.974274386352958	0.973686711385444
201907	1.04584595689726	1.04215404015901	1.0154783654155	1.01125124837102
201908	0.961341752351392	0.88028301256275	0.927977889900752	0.94627672467389
201909	0.963131012112396	0.892820796922008	0.946855655451027	0.977504147863916
201910	0.947278522763505	0.871112935580905	0.936555362886427	0.966679950650018
201911	0.998358591723816	0.898279547324655	0.963811916414318	0.992019621297586
201912	1.01620593026892	0.916415412354522	0.991328357955895	1.01236653323623
202001	1.01555934631455	0.893132746641589	0.970972947611878	0.991907687114487
202002	0.958041001834804	0.8408611805411	0.913206282746452	0.934557663422289
202003	0.926244697424204	0.847218325820143	0.924436597164131	0.950997666062738
202004	0.805988466582459	0.712043375239855	0.783025587779118	0.793389664847565
202005	0.85263404381518	0.845037875495183	0.937714374803659	0.958221629134457
202006	0.969939656405989	0.880957330960194	0.932203788904135	0.975731439243842
202007	0.914301774864658	0.869403557305554	0.93302005164095	0.968386090843805
